supplr_name;supplr_receptionNumber;supplr_formID;supplr_agreementNumber;supplr_qualityCertificationNumber;supplr_specificInstructions;supplr_siret ;supplr_website;supplr_activity;supplr_VATNumber ;supplr_endLinkToFolder;Number of address;Number of contact;supplr_real;supplr_critical
PIXARTPRINTING;/;S234;/;/;/;80273913600017;https://www.pixartprinting.fr/?gclid=824dd67f17071b1a18dab2074351334c&gclsrc=3p.ds&&ds_a_cid=94152874&msclkid=824dd67f17071b1a18dab2074351334c&utm_source=bing&utm_medium=cpc&utm_campaign=fr%20-%20brand%20-%20core%20-%20Bing%20-%20updated&utm_term=pixartprinting&utm_content=core%20-%20Pixartprinting%20-%20exact;Vente à distance sur catalogue spécialisé (4791B);/;/;0;0;no;no
PLAQUE-PLASTIQUE;/;S235;/;/;/;84223362900026;https://plaqueplastique.fr/?msclkid=02ed2ad8b36219e6a5704ea0e7881985&utm_term=plaque%20plastique;Commerce de gros (commerce interentreprises) de fournitures et équipements divers pour le commerce et les services (4669C);FR85842233629;/;0;0;no;no
PROPOUS;/;S236;/;/;/;/;/;/;/;/;0;0;no;no
QOSINA;/;S237;/;/;/;/;https://www.qosina.com/;/;/;/;0;0;no;no
RADIOSPARE;/;S238;/;/;/;/;/;/;/;/;0;0;no;no
RAJA;/;S239;/;/;/;93708041400066;https://www.raja.fr/?msclkid=553c0981423b1f64f3576df9141bfc05&utm_source=bing&utm_medium=cpc&utm_campaign=FR%20%2F%20TXT%20%2F%20Marque%20Pure-%20BING&utm_term=raja&utm_content=Marque_Seule_Exact;Commerce de gros (commerce interentreprises) d\'autres produits intermédiaires (4676Z);FR58937080414;/;0;0;no;no
BG ETANCHEITE;/;S240;/;/;/;50232112800030;/;Travaux d\'étanchéification (4399A);FR11502321128;/;0;0;no;no
SERVIA;/;S241;/;/;/;39932140500066;https://www.societe-nettoyage-proprete-locaux-bureaux-paris.fr/;Nettoyage courant des bâtiments (8121Z);FR65399321405;/;0;0;no;no
OUDOT;01 42 65 93 90;S242;/;/;/;38104024500023;https://www.oudot.net/;Fabrication de structures métalliques et de parties de structures (2511Z);FR94381040245;/;0;0;no;no
SHANGHAI HAOZUN INDUSTRIY;/;S243;/;/;/;/;/;/;/;/;0;0;no;no
SO BRICO;01 40 21 19 49;S244;/;/;/;40309296800995;https://www.sobrico.com/?utm_source=bing&utm_medium=cpc&msclkid=f9001adcf5261d0d69d47ea4adcbc59c&utm_campaign=Search-Branding-FR&utm_term=so%20brico&utm_content=Branding;Commerce de gros (commerce interentreprises) de quincaillerie (4674A);/;/;0;0;no;no
TOOLSTATION;/;S245;/;/;/;80071695300032;https://www.toolstation.fr/?utm_id=bi_cmp-270142147_adg-1148989670748587_ad-71812006267123_kwd-71812563405558:loc-66_dev-c_ext-_prd-_sig-e2561f86cc431fd958407bfe9514e5e3&utm_source=bing&msclkid=e2561f86cc431fd958407bfe9514e5e3&utm_medium=cpc&utm_campaign=1%20%7C%20FR%20%7C%20Trademark%20%7C%20Bing&utm_term=toolstation%20france&utm_content=Toolstation%20(MB);Commerce de détail de quincaillerie, peintures et verres en petites surfaces (moins de 400 m²) (4752A);FR94800716953;/;0;0;no;no
TRADE DISCOUNT;/;S246;/;/;/;51044192600076;https://www.tradediscount.com/?msclkid=1d09a637217e1278af1dc24f78f36f49&utm_source=bing&utm_medium=cpc&utm_campaign=Trade%20Discount%20-%20Brand-G84318910&utm_term=www%20trade%20discount%20fr&utm_content=Brand%20Trade%20Discount%20expression;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);/;/;0;0;no;no
VEVOR;/;S247;/;/;/;/;https://www.vevor.fr/?utm_source=bing&utm_medium=cpc&utm_id=602824069&utm_campaign=AD-PC-FR-Domain-Phrase-ECPC-20230303&msclkid=89a071b10d4b16682f3015c9548afa51&utm_term=vevor%20france&utm_content=FR-VEVOR;/;/;/;0;0;no;no
VIS EXPRESS;/;S248;/;/;/;/;https://www.vis-express.fr/fr/?msclkid=2f4e1dc9f95713a3b79e79b1a0a1e450&utm_source=bing&utm_medium=cpc&utm_campaign=Visserie%20Service%20DSA&utm_term=vis-express&utm_content=All%20Webpages;/;/;/;0;0;no;no
VP;/;S249;/;/;/;/;/;/;/;/;0;0;no;no
VUICHARD MICHEL;/;S250;/;/;/;32301722800012;https://vuichard.fr/;Mécanique industrielle (2562B);FR65323017228;/;0;0;no;no
YAHEETECH;/;S251;/;/;/;89515771700011;http://www.yaheetech.eu/;Commerce de gros (commerce interentreprises) non spécialisé (4690Z);FR33895157717;/;0;0;no;no
YUJJIE;/;S252;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate supplier abble to establsh compliance certificate - manufacturer has to be ISO 13485 or ISO 9001;/;S253;/;/;/;/;/;/;/;/;0;0;no;no
Pharmacy or manufacturer subdealer;/;S254;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate supplier;/;S255;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local food grade tubing extruder;/;S256;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local protective box manufacturer;/;S257;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate machinist equiped for bar turning;/;S258;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local food grade silicon sheet supplier ;/;S259;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local label for Thermal Transfer standard or custom made type Zebra supplier;/;S260;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local provider advised;/;S261;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local supplier in 20 to 30l can advised;/;S262;/;/;/;/;/;/;/;/;0;0;no;no
Appropriate local supplier of MINIGRIP BAGS;/;S263;/;/;/;/;/;/;/;/;0;0;no;no
